"id_D";"date_R";"jour";"mois";"annee";"semaine";"id_t_jour";"id_M";"id_S"
"20170001";"02/01/2017";"2";"1";"2017";"1";"1";"1";"1"
"20170002";"03/01/2017";"3";"1";"2017";"1";"1";"1";"1"
"20170003";"04/01/2017";"4";"1";"2017";"1";"1";"1";"1"
"20170004";"05/01/2017";"5";"1";"2017";"1";"1";"1";"1"
"20170005";"06/01/2017";"6";"1";"2017";"1";"1";"1";"1"
"20170006";"09/01/2017";"9";"1";"2017";"2";"1";"1";"2"
"20170007";"10/01/2017";"10";"1";"2017";"2";"1";"1";"2"
"20170008";"11/01/2017";"11";"1";"2017";"2";"1";"1";"2"
"20170009";"12/01/2017";"12";"1";"2017";"2";"1";"1";"2"
"20170010";"13/01/2017";"13";"1";"2017";"2";"1";"1";"2"
"20170011";"16/01/2017";"16";"1";"2017";"3";"1";"1";"3"
"20170012";"17/01/2017";"17";"1";"2017";"3";"1";"1";"3"
"20170013";"18/01/2017";"18";"1";"2017";"3";"1";"1";"3"
"20170014";"19/01/2017";"19";"1";"2017";"3";"1";"1";"3"
"20170015";"20/01/2017";"20";"1";"2017";"3";"1";"1";"3"
"20170016";"23/01/2017";"23";"1";"2017";"4";"1";"1";"4"
"20170017";"24/01/2017";"24";"1";"2017";"4";"1";"1";"4"
"20170018";"25/01/2017";"25";"1";"2017";"4";"1";"1";"4"
"20170019";"26/01/2017";"26";"1";"2017";"4";"1";"1";"4"
"20170020";"27/01/2017";"27";"1";"2017";"4";"1";"1";"4"
"20170021";"30/01/2017";"30";"1";"2017";"5";"1";"1";"5"
"20170022";"31/01/2017";"31";"1";"2017";"5";"1";"1";"5"
"20170023";"01/02/2017";"1";"2";"2017";"5";"1";"2";"5"
"20170024";"02/02/2017";"2";"2";"2017";"5";"1";"2";"5"
"20170025";"03/02/2017";"3";"2";"2017";"5";"1";"2";"5"
"20170026";"06/02/2017";"6";"2";"2017";"6";"1";"2";"6"
"20170027";"07/02/2017";"7";"2";"2017";"6";"1";"2";"6"
"20170028";"08/02/2017";"8";"2";"2017";"6";"1";"2";"6"
"20170029";"09/02/2017";"9";"2";"2017";"6";"1";"2";"6"
"20170030";"10/02/2017";"10";"2";"2017";"6";"1";"2";"6"
"20170031";"13/02/2017";"13";"2";"2017";"7";"1";"2";"7"
"20170032";"14/02/2017";"14";"2";"2017";"7";"1";"2";"7"
"20170033";"15/02/2017";"15";"2";"2017";"7";"1";"2";"7"
"20170034";"16/02/2017";"16";"2";"2017";"7";"1";"2";"7"
"20170035";"17/02/2017";"17";"2";"2017";"7";"1";"2";"7"
"20170036";"20/02/2017";"20";"2";"2017";"8";"1";"2";"8"
"20170037";"21/02/2017";"21";"2";"2017";"8";"1";"2";"8"
"20170038";"22/02/2017";"22";"2";"2017";"8";"1";"2";"8"
"20170039";"23/02/2017";"23";"2";"2017";"8";"1";"2";"8"
"20170040";"24/02/2017";"24";"2";"2017";"8";"1";"2";"8"
"20170041";"27/02/2017";"27";"2";"2017";"9";"1";"2";"9"
"20170042";"28/02/2017";"28";"2";"2017";"9";"1";"2";"9"
"20170043";"01/03/2017";"1";"3";"2017";"9";"1";"3";"9"
"20170044";"02/03/2017";"2";"3";"2017";"9";"1";"3";"9"
"20170045";"03/03/2017";"3";"3";"2017";"9";"1";"3";"9"
"20170046";"06/03/2017";"6";"3";"2017";"10";"1";"3";"10"
"20170047";"07/03/2017";"7";"3";"2017";"10";"1";"3";"10"
"20170048";"08/03/2017";"8";"3";"2017";"10";"1";"3";"10"
"20170049";"09/03/2017";"9";"3";"2017";"10";"1";"3";"10"
"20170050";"10/03/2017";"10";"3";"2017";"10";"1";"3";"10"
"20170051";"13/03/2017";"13";"3";"2017";"11";"1";"3";"11"
"20170052";"14/03/2017";"14";"3";"2017";"11";"1";"3";"11"
"20170053";"15/03/2017";"15";"3";"2017";"11";"1";"3";"11"
"20170054";"16/03/2017";"16";"3";"2017";"11";"1";"3";"11"
"20170055";"17/03/2017";"17";"3";"2017";"11";"1";"3";"11"
"20170056";"20/03/2017";"20";"3";"2017";"12";"1";"3";"12"
"20170057";"21/03/2017";"21";"3";"2017";"12";"1";"3";"12"
"20170058";"22/03/2017";"22";"3";"2017";"12";"1";"3";"12"
"20170059";"23/03/2017";"23";"3";"2017";"12";"1";"3";"12"
"20170060";"24/03/2017";"24";"3";"2017";"12";"1";"3";"12"
"20170061";"27/03/2017";"27";"3";"2017";"13";"1";"3";"13"
"20170062";"28/03/2017";"28";"3";"2017";"13";"1";"3";"13"
"20170063";"31/03/2017";"31";"3";"2017";"13";"1";"3";"13"
"20170064";"03/04/2017";"3";"4";"2017";"14";"1";"4";"14"
"20170065";"04/04/2017";"4";"4";"2017";"14";"1";"4";"14"
"20170066";"05/04/2017";"5";"4";"2017";"14";"1";"4";"14"
"20170067";"06/04/2017";"6";"4";"2017";"14";"1";"4";"14"
"20170068";"07/04/2017";"7";"4";"2017";"14";"1";"4";"14"
"20170069";"10/04/2017";"10";"4";"2017";"15";"1";"4";"15"
"20170070";"11/04/2017";"11";"4";"2017";"15";"1";"4";"15"
"20170071";"12/04/2017";"12";"4";"2017";"15";"1";"4";"15"
"20170072";"13/04/2017";"13";"4";"2017";"15";"1";"4";"15"
"20170073";"14/04/2017";"14";"4";"2017";"15";"1";"4";"15"
"20170074";"17/04/2017";"17";"4";"2017";"16";"1";"4";"16"
"20170075";"18/04/2017";"18";"4";"2017";"16";"1";"4";"16"
"20170076";"19/04/2017";"19";"4";"2017";"16";"1";"4";"16"
"20170077";"20/04/2017";"20";"4";"2017";"16";"1";"4";"16"
"20170078";"21/04/2017";"21";"4";"2017";"16";"1";"4";"16"
"20170079";"24/04/2017";"24";"4";"2017";"17";"1";"4";"17"
"20170080";"25/04/2017";"25";"4";"2017";"17";"1";"4";"17"
"20170081";"26/04/2017";"26";"4";"2017";"17";"1";"4";"17"
"20170082";"27/04/2017";"27";"4";"2017";"17";"1";"4";"17"
"20170083";"28/04/2017";"28";"4";"2017";"17";"1";"4";"17"
"20170084";"02/05/2017";"2";"5";"2017";"18";"1";"5";"18"
"20170085";"03/05/2017";"3";"5";"2017";"18";"1";"5";"18"
"20170086";"04/05/2017";"4";"5";"2017";"18";"1";"5";"18"
"20170087";"05/05/2017";"5";"5";"2017";"18";"1";"5";"18"
"20170088";"08/05/2017";"8";"5";"2017";"19";"1";"5";"19"
"20170089";"09/05/2017";"9";"5";"2017";"19";"1";"5";"19"
"20170090";"10/05/2017";"10";"5";"2017";"19";"1";"5";"19"
"20170091";"11/05/2017";"11";"5";"2017";"19";"1";"5";"19"
"20170092";"12/05/2017";"12";"5";"2017";"19";"1";"5";"19"
"20170093";"15/05/2017";"15";"5";"2017";"20";"1";"5";"20"
"20170094";"16/05/2017";"16";"5";"2017";"20";"1";"5";"20"
"20170095";"17/05/2017";"17";"5";"2017";"20";"1";"5";"20"
"20170096";"18/05/2017";"18";"5";"2017";"20";"1";"5";"20"
"20170097";"19/05/2017";"19";"5";"2017";"20";"1";"5";"20"
"20170098";"22/05/2017";"22";"5";"2017";"21";"1";"5";"21"
"20170099";"23/05/2017";"23";"5";"2017";"21";"1";"5";"21"
"20170100";"24/05/2017";"24";"5";"2017";"21";"1";"5";"21"
"20170101";"25/05/2017";"25";"5";"2017";"21";"1";"5";"21"
"20170102";"26/05/2017";"26";"5";"2017";"21";"1";"5";"21"
"20170103";"29/05/2017";"29";"5";"2017";"22";"1";"5";"22"
"20170104";"30/05/2017";"30";"5";"2017";"22";"1";"5";"22"
"20170105";"31/05/2017";"31";"5";"2017";"22";"1";"5";"22"
"20170106";"01/06/2017";"1";"6";"2017";"22";"1";"6";"22"
"20170107";"02/06/2017";"2";"6";"2017";"22";"1";"6";"22"
"20170108";"05/06/2017";"5";"6";"2017";"23";"1";"6";"23"
"20170109";"06/06/2017";"6";"6";"2017";"23";"1";"6";"23"
"20170110";"07/06/2017";"7";"6";"2017";"23";"1";"6";"23"
"20170111";"08/06/2017";"8";"6";"2017";"23";"1";"6";"23"
"20170112";"09/06/2017";"9";"6";"2017";"23";"1";"6";"23"
"20170113";"12/06/2017";"12";"6";"2017";"24";"1";"6";"24"
"20170114";"13/06/2017";"13";"6";"2017";"24";"1";"6";"24"
"20170115";"14/06/2017";"14";"6";"2017";"24";"1";"6";"24"
"20170116";"15/06/2017";"15";"6";"2017";"24";"1";"6";"24"
"20170117";"16/06/2017";"16";"6";"2017";"24";"1";"6";"24"
"20170118";"19/06/2017";"19";"6";"2017";"25";"1";"6";"25"
"20170119";"20/06/2017";"20";"6";"2017";"25";"1";"6";"25"
"20170120";"21/06/2017";"21";"6";"2017";"25";"1";"6";"25"
"20170121";"22/06/2017";"22";"6";"2017";"25";"1";"6";"25"
"20170122";"23/06/2017";"23";"6";"2017";"25";"1";"6";"25"
"20170123";"26/06/2017";"26";"6";"2017";"26";"1";"6";"26"
"20170124";"27/06/2017";"27";"6";"2017";"26";"1";"6";"26"
"20170125";"28/06/2017";"28";"6";"2017";"26";"1";"6";"26"
"20170126";"29/06/2017";"29";"6";"2017";"26";"1";"6";"26"
"20170127";"30/06/2017";"30";"6";"2017";"26";"1";"6";"26"
"20170128";"03/07/2017";"3";"7";"2017";"27";"1";"7";"27"
"20170129";"04/07/2017";"4";"7";"2017";"27";"1";"7";"27"
